last_name,first_name,birthday,gender,type,state,party,salary
Langevin,James,1964-04-22,M,rep,RI,Democrat,169318
Lankford,James,1968-03-04,M,sen,OK,Republican,79156
Larsen,Rick,1965-06-15,M,rep,WA,Democrat,157235
Larson,John,1948-07-22,M,rep,CT,Democrat,124544
Latta,Robert,1956-04-18,M,rep,OH,Republican,148480
Leahy,Patrick,1940-03-31,M,sen,VT,Democrat,92664
Lee,Barbara,1946-07-16,F,rep,CA,Democrat,115972
Lee,Mike,1971-06-04,M,sen,UT,Republican,74748
Lofgren,Zoe,1947-12-21,F,rep,CA,Democrat,93332
Long,Billy,1955-08-11,M,rep,MO,Republican,131994
Lucas,Frank,1960-01-06,M,rep,OK,Republican,80028
Luetkemeyer,Blaine,1952-05-07,M,rep,MO,Republican,93693
Luján,Ben,1972-06-07,M,sen,NM,Democrat,158827
Lynch,Stephen,1955-03-31,M,rep,MA,Democrat,127154
Maloney,Carolyn,1946-02-19,F,rep,NY,Democrat,99146
Markey,Edward,1946-07-11,M,sen,MA,Democrat,121508
Matsui,Doris,1944-09-25,F,rep,CA,Democrat,123094
McCarthy,Kevin,1965-01-26,M,rep,CA,Republican,83380
McCaul,Michael,1962-01-14,M,rep,TX,Republican,99267
McClintock,Tom,1956-07-10,M,rep,CA,Republican,84373
McCollum,Betty,1954-07-12,F,rep,MN,Democrat,97655
McGovern,James,1959-11-20,M,rep,MA,Democrat,81528
McHenry,Patrick,1975-10-22,M,rep,NC,Republican,85846
McKinley,David,1947-03-28,M,rep,WV,Republican,88474
Rodgers,Cathy,1969-05-22,F,rep,WA,Republican,96991
McNerney,Jerry,1951-06-18,M,rep,CA,Democrat,138145
Meeks,Gregory,1953-09-25,M,rep,NY,Democrat,140081
Moore,Gwen,1951-04-18,F,rep,WI,Democrat,164831
Moran,Jerry,1954-05-29,M,sen,KS,Republican,90018
Murkowski,Lisa,1957-05-22,F,sen,AK,Republican,158458
Murphy,Christopher,1973-08-03,M,sen,CT,Democrat,156097
Murray,Patty,1950-10-11,F,sen,WA,Democrat,138177
Nadler,Jerrold,1947-06-13,M,rep,NY,Democrat,107217
Napolitano,Grace,1936-12-04,F,rep,CA,Democrat,84343
Neal,Richard,1949-02-14,M,rep,MA,Democrat,124823
Norton,Eleanor,1937-06-13,F,rep,DC,Democrat,90413
Nunes,Devin,1973-10-01,M,rep,CA,Republican,84422
Palazzo,Steven,1970-02-21,M,rep,MS,Republican,102473
Pallone,Frank,1951-10-30,M,rep,NJ,Democrat,111723
Pascrell,Bill,1937-01-25,M,rep,NJ,Democrat,123433
Paul,Rand,1963-01-07,M,sen,KY,Republican,109478
Pelosi,Nancy,1940-03-26,F,rep,CA,Democrat,165766
Perlmutter,Ed,1953-05-01,M,rep,CO,Democrat,121944
Peters,Gary,1958-12-01,M,sen,MI,Democrat,82324
Pingree,Chellie,1955-04-02,F,rep,ME,Democrat,136255
Portman,Robert,1955-12-19,M,sen,OH,Republican,121289
Posey,Bill,1947-12-18,M,rep,FL,Republican,118653
Price,David,1940-08-17,M,rep,NC,Democrat,157865
Quigley,Mike,1958-10-17,M,rep,IL,Democrat,120635
Reed,Tom,1971-11-18,M,rep,NY,Republican,130293
Rogers,Harold,1937-12-31,M,rep,KY,Republican,106260
Rogers,Mike,1958-07-16,M,rep,AL,Republican,81056
Roybal-Allard,Lucille,1941-06-12,F,rep,CA,Democrat,134863
Rubio,Marco,1971-05-28,M,sen,FL,Republican,116440
Ruppersberger,C.,1946-01-31,M,rep,MD,Democrat,79102
Rush,Bobby,1946-11-23,M,rep,IL,Democrat,153520
Ryan,Tim,1973-07-16,M,rep,OH,Democrat,115004
Sablan,Gregorio,1955-01-19,M,rep,MP,Democrat,77592
Sarbanes,John,1962-05-22,M,rep,MD,Democrat,166689
Scalise,Steve,1965-10-06,M,rep,LA,Republican,149423
Schakowsky,Janice,1944-05-26,F,rep,IL,Democrat,141120
Schiff,Adam,1960-06-22,M,rep,CA,Democrat,108395
Schrader,Kurt,1951-10-19,M,rep,OR,Democrat,80953
Schumer,Charles,1950-11-23,M,sen,NY,Democrat,145525
Schweikert,David,1962-03-03,M,rep,AZ,Republican,106249
Scott,Austin,1969-12-10,M,rep,GA,Republican,165421
Scott,David,1945-06-27,M,rep,GA,Democrat,160667
Scott,Robert,1947-04-30,M,rep,VA,Democrat,81139
Scott,Tim,1965-09-19,M,sen,SC,Republican,80233
Sewell,Terri,1965-01-01,F,rep,AL,Democrat,154699
Shelby,Richard,1934-05-06,M,sen,AL,Republican,169233
Sherman,Brad,1954-10-24,M,rep,CA,Democrat,163246
Simpson,Michael,1950-09-08,M,rep,ID,Republican,113843
Sires,Albio,1951-01-26,M,rep,NJ,Democrat,146115
Smith,Adam,1965-06-15,M,rep,WA,Democrat,144417
Smith,Adrian,1970-12-19,M,rep,NE,Republican,83907
Smith,Christopher,1953-03-04,M,rep,NJ,Republican,76502
Speier,Jackie,1950-05-14,F,rep,CA,Democrat,169528
Sánchez,Linda,1969-01-28,F,rep,CA,Democrat,78158
Thompson,Bennie,1948-01-28,M,rep,MS,Democrat,108997
Thompson,Mike,1951-01-24,M,rep,CA,Democrat,99089
Thompson,Glenn,1959-07-27,M,rep,PA,Republican,112832
Thune,John,1961-01-07,M,sen,SD,Republican,87311
Tonko,Paul,1949-06-18,M,rep,NY,Democrat,161165
Toomey,Patrick,1961-11-17,M,sen,PA,Republican,121600
Turner,Michael,1960-01-11,M,rep,OH,Republican,81024
Upton,Fred,1953-04-23,M,rep,MI,Republican,110649
Van Hollen,Chris,1959-01-10,M,sen,MD,Democrat,162283
Velázquez,Nydia,1953-03-28,F,rep,NY,Democrat,98904
Walberg,Tim,1951-04-12,M,rep,MI,Republican,159715
Wasserman Schultz,Debbie,1966-09-27,F,rep,FL,Democrat,86465
Waters,Maxine,1938-08-15,F,rep,CA,Democrat,89508
Webster,Daniel,1949-04-27,M,rep,FL,Republican,94627
Welch,Peter,1947-05-02,M,rep,VT,Democrat,140373
Wilson,Joe,1947-07-31,M,rep,SC,Republican,119025
Wilson,Frederica,1942-11-05,F,rep,FL,Democrat,142997
Wittman,Robert,1959-02-03,M,rep,VA,Republican,146760
Womack,Steve,1957-02-18,M,rep,AR,Republican,110558
Wyden,Ron,1949-05-03,M,sen,OR,Democrat,144709
Yarmuth,John,1947-11-04,M,rep,KY,Democrat,128597
Young,Don,1933-06-09,M,rep,AK,Republican,156377
Young,Todd,1972-08-24,M,sen,IN,Republican,107409
Amodei,Mark,1958-06-12,M,rep,NV,Republican,74821
Bonamici,Suzanne,1954-10-14,F,rep,OR,Democrat,75887
DelBene,Suzan,1962-02-17,F,rep,WA,Democrat,125081
Massie,Thomas,1971-01-13,M,rep,KY,Republican,155157
Payne,Donald,1958-12-17,M,rep,NJ,Democrat,130881
Schatz,Brian,1972-10-20,M,sen,HI,Democrat,125363
Foster,Bill,1955-10-07,M,rep,IL,Democrat,149633
Titus,Dina,1950-05-23,F,rep,NV,Democrat,86136
Cotton,Tom,1977-05-13,M,sen,AR,Republican,123633
Sinema,Kyrsten,1976-07-12,F,sen,AZ,Democrat,140311
LaMalfa,Doug,1960-07-02,M,rep,CA,Republican,159730
Huffman,Jared,1964-02-18,M,rep,CA,Democrat,159201
Bera,Ami,1965-03-02,M,rep,CA,Democrat,121640
Swalwell,Eric,1980-11-16,M,rep,CA,Democrat,94785
Brownley,Julia,1952-08-28,F,rep,CA,Democrat,131145
Cárdenas,Tony,1963-03-31,M,rep,CA,Democrat,105673
Ruiz,Raul,1972-08-25,M,rep,CA,Democrat,80000
Takano,Mark,1960-12-10,M,rep,CA,Democrat,129436
Lowenthal,Alan,1941-03-08,M,rep,CA,Democrat,84341
Vargas,Juan,1961-03-07,M,rep,CA,Democrat,100811
Peters,Scott,1958-06-17,M,rep,CA,Democrat,142351
Frankel,Lois,1948-05-16,F,rep,FL,Democrat,153292
Duckworth,Tammy,1968-03-12,F,sen,IL,Democrat,101314
Davis,Rodney,1970-01-05,M,rep,IL,Republican,169935
Bustos,Cheri,1961-10-17,F,rep,IL,Democrat,82318
Walorski,Jackie,1963-08-17,F,rep,IN,Republican,96057
Barr,Garland,1973-07-24,M,rep,KY,Republican,168674
Warren,Elizabeth,1949-06-22,F,sen,MA,Democrat,154355
King,Angus,1944-03-31,M,sen,ME,Independent,84380
Kildee,Daniel,1958-08-11,M,rep,MI,Democrat,75712
Wagner,Ann,1962-09-13,F,rep,MO,Republican,152519
Daines,Steve,1962-08-20,M,sen,MT,Republican,79123
Hudson,Richard,1971-11-04,M,rep,NC,Republican,108495
Cramer,Kevin,1961-01-21,M,sen,ND,Republican,98682
Fischer,Deb,1951-03-01,F,sen,NE,Republican,169863
Kuster,Ann,1956-09-05,F,rep,NH,Democrat,148550
Meng,Grace,1975-10-01,F,rep,NY,Democrat,166099
Jeffries,Hakeem,1970-08-04,M,rep,NY,Democrat,151592
Maloney,Sean,1966-07-30,M,rep,NY,Democrat,162603
Wenstrup,Brad,1958-06-17,M,rep,OH,Republican,102676
Beatty,Joyce,1950-03-12,F,rep,OH,Democrat,161123
Joyce,David,1957-03-17,M,rep,OH,Republican,168608
Mullin,Markwayne,1977-07-26,M,rep,OK,Republican,109934
Perry,Scott,1962-05-27,M,rep,PA,Republican,152465
Cartwright,Matthew,1961-05-01,M,rep,PA,Democrat,144074
Rice,Tom,1957-08-04,M,rep,SC,Republican,132373
Cruz,Ted,1970-12-22,M,sen,TX,Republican,72530
Weber,Randy,1953-07-02,M,rep,TX,Republican,104978
Castro,Joaquin,1974-09-16,M,rep,TX,Democrat,169620
Williams,Roger,1949-09-13,M,rep,TX,Republican,100152
Veasey,Marc,1971-01-03,M,rep,TX,Democrat,124735
Vela,Filemon,1963-02-13,M,rep,TX,Democrat,82298
Stewart,Chris,1960-07-15,M,rep,UT,Republican,82053
Kaine,Timothy,1958-02-26,M,sen,VA,Democrat,135115
Kilmer,Derek,1974-01-01,M,rep,WA,Democrat,87123
Pocan,Mark,1964-08-14,M,rep,WI,Democrat,111696
Kelly,Robin,1956-04-30,F,rep,IL,Democrat,150644
Smith,Jason,1980-06-16,M,rep,MO,Republican,72335
Booker,Cory,1969-04-27,M,sen,NJ,Democrat,157653
Clark,Katherine,1963-07-17,F,rep,MA,Democrat,109463
Norcross,Donald,1958-12-13,M,rep,NJ,Democrat,82323
Adams,Alma,1946-05-27,F,rep,NC,Democrat,85482
Palmer,Gary,1954-05-14,M,rep,AL,Republican,70664
Hill,J.,1956-12-05,M,rep,AR,Republican,91448
Westerman,Bruce,1967-11-18,M,rep,AR,Republican,154206
Gallego,Ruben,1979-11-20,M,rep,AZ,Democrat,127801
DeSaulnier,Mark,1952-03-31,M,rep,CA,Democrat,83514
Aguilar,Pete,1979-06-19,M,rep,CA,Democrat,108362
Lieu,Ted,1969-03-29,M,rep,CA,Democrat,103342
Torres,Norma,1965-04-04,F,rep,CA,Democrat,145367
Buck,Ken,1959-02-16,M,rep,CO,Republican,75573
Carter,Earl,1957-09-06,M,rep,GA,Republican,145525
Hice,Jody,1960-04-22,M,rep,GA,Republican,105036
Loudermilk,Barry,1963-12-22,M,rep,GA,Republican,141902
Allen,Rick,1951-11-07,M,rep,GA,Republican,151810
Bost,Mike,1960-12-30,M,rep,IL,Republican,144138
Graves,Garret,1972-01-31,M,rep,LA,Republican,155460
Moulton,Seth,1978-10-24,M,rep,MA,Democrat,133415
Moolenaar,John,1961-05-08,M,rep,MI,Republican,153755
Dingell,Debbie,1953-11-23,F,rep,MI,Democrat,153212
Lawrence,Brenda,1954-10-18,F,rep,MI,Democrat,86638
Emmer,Tom,1961-03-03,M,rep,MN,Republican,121921
Rouzer,David,1972-02-16,M,rep,NC,Republican,132580
Watson Coleman,Bonnie,1945-02-06,F,rep,NJ,Democrat,109859
Zeldin,Lee,1980-01-30,M,rep,NY,Republican,122642
Rice,Kathleen,1965-02-15,F,rep,NY,Democrat,102407
Stefanik,Elise,1984-07-02,F,rep,NY,Republican,86787
Katko,John,1962-11-09,M,rep,NY,Republican,94198
Boyle,Brendan,1977-02-06,M,rep,PA,Democrat,167797
Babin,Brian,1948-03-23,M,rep,TX,Republican,167765
Beyer,Donald,1950-06-20,M,rep,VA,Democrat,76593
Plaskett,Stacey,1966-05-13,F,rep,VI,Democrat,138721
Newhouse,Dan,1955-07-10,M,rep,WA,Republican,77469
Grothman,Glenn,1955-07-03,M,rep,WI,Republican,111561
Mooney,Alexander,1971-06-05,M,rep,WV,Republican,169331
Radewagen,Aumua Amata,1947-12-29,F,rep,AS,Republican,104567
Sullivan,Dan,1964-11-13,M,sen,AK,Republican,151587
Ernst,Joni,1970-07-01,F,sen,IA,Republican,165460
Tillis,Thom,1960-08-30,M,sen,NC,Republican,104324
Rounds,Mike,1954-10-24,M,sen,SD,Republican,145425
Sasse,Benjamin,1972-02-22,M,sen,NE,Republican,104489
Kelly,Trent,1966-03-01,M,rep,MS,Republican,160825
LaHood,Darin,1968-07-05,M,rep,IL,Republican,125697
Davidson,Warren,1970-03-01,M,rep,OH,Republican,105587
Comer,James,1972-08-19,M,rep,KY,Republican,161208
Evans,Dwight,1954-05-16,M,rep,PA,Democrat,92730
Kennedy,John,1951-11-21,M,sen,LA,Republican,78980
Hassan,Margaret,1958-02-27,F,sen,NH,Democrat,73916
Cortez Masto,Catherine,1964-03-29,F,sen,NV,Democrat,129347
Schneider,Bradley,1961-08-20,M,rep,IL,Democrat,150371
O’Halleran,Tom,1946-01-24,M,rep,AZ,Democrat,91060
Biggs,Andy,1958-11-07,M,rep,AZ,Republican,113982
Khanna,Ro,1976-09-13,M,rep,CA,Democrat,149544
Panetta,Jimmy,1969-10-01,M,rep,CA,Democrat,109361
Carbajal,Salud,1964-11-18,M,rep,CA,Democrat,166232
Barragán,Nanette,1976-09-15,F,rep,CA,Democrat,150501
Correa,J.,1958-01-24,M,rep,CA,Democrat,158312
Blunt Rochester,Lisa,1962-02-10,F,rep,DE,Democrat,125039
Gaetz,Matt,1982-05-07,M,rep,FL,Republican,145682
Dunn,Neal,1953-02-16,M,rep,FL,Republican,122352
Rutherford,John,1952-09-02,M,rep,FL,Republican,137809
Lawson,Al,1948-09-23,M,rep,FL,Democrat,102050
Murphy,Stephanie,1978-09-16,F,rep,FL,Democrat,72403
Soto,Darren,1978-02-25,M,rep,FL,Democrat,97161
Demings,Val,1957-03-12,F,rep,FL,Democrat,147084
Crist,Charlie,1956-07-24,M,rep,FL,Democrat,139806
Mast,Brian,1980-07-10,M,rep,FL,Republican,80090
Ferguson,A.,1966-11-15,M,rep,GA,Republican,81081
Krishnamoorthi,Raja,1973-07-19,M,rep,IL,Democrat,122092
Banks,Jim,1979-07-16,M,rep,IN,Republican,84348
Hollingsworth,Trey,1983-09-12,M,rep,IN,Republican,102223
Marshall,Roger,1960-08-09,M,sen,KS,Republican,72798
Higgins,Clay,1961-08-24,M,rep,LA,Republican,104988
Johnson,Mike,1972-01-30,M,rep,LA,Republican,84313
Brown,Anthony,1961-11-21,M,rep,MD,Democrat,98175
Raskin,Jamie,1962-12-13,M,rep,MD,Democrat,155616
Bergman,Jack,1947-02-02,M,rep,MI,Republican,144118
Budd,Ted,1971-10-21,M,rep,NC,Republican,131800
Bacon,Don,1963-08-16,M,rep,NE,Republican,151840
Gottheimer,Josh,1975-03-08,M,rep,NJ,Democrat,86401
Rosen,Jacky,1957-08-02,F,sen,NV,Democrat,167787
Suozzi,Thomas,1962-08-31,M,rep,NY,Democrat,78121
Espaillat,Adriano,1954-09-27,M,rep,NY,Democrat,114287
Fitzpatrick,Brian,1973-12-17,M,rep,PA,Republican,101961
Smucker,Lloyd,1964-01-23,M,rep,PA,Republican,128736
González-Colón,Jenniffer,1976-08-05,F,rep,PR,Republican,87531
Kustoff,David,1966-10-08,M,rep,TN,Republican,168860
Gonzalez,Vicente,1967-09-04,M,rep,TX,Democrat,127301
Arrington,Jodey,1972-03-09,M,rep,TX,Republican,72379
McEachin,A.,1961-10-10,M,rep,VA,Democrat,162337
Jayapal,Pramila,1965-09-21,F,rep,WA,Democrat,155336
Gallagher,Mike,1984-03-03,M,rep,WI,Republican,148416
Cheney,Liz,1966-07-28,F,rep,WY,Republican,75532
Estes,Ron,1956-07-19,M,rep,KS,Republican,132297
Norman,Ralph,1953-06-20,M,rep,SC,Republican,129729
Gomez,Jimmy,1974-11-25,M,rep,CA,Democrat,155876
Curtis,John,1960-05-10,M,rep,UT,Republican,84936
Smith,Tina,1958-03-04,F,sen,MN,Democrat,78818
Hyde-Smith,Cindy,1959-05-10,F,sen,MS,Republican,81809
Lamb,Conor,1984-06-27,M,rep,PA,Democrat,85642
Lesko,Debbie,1958-11-14,F,rep,AZ,Republican,112832
Cloud,Michael,1975-05-13,M,rep,TX,Republican,114736
Balderson,Troy,1962-01-16,M,rep,OH,Republican,98590
Hern,Kevin,1961-12-04,M,rep,OK,Republican,119543
Morelle,Joseph,1957-04-29,M,rep,NY,Democrat,123861
Scanlon,Mary,1959-08-30,F,rep,PA,Democrat,107965
Wild,Susan,1957-06-07,F,rep,PA,Democrat,156311
Case,Ed,1952-09-27,M,rep,HI,Democrat,148116
Horsford,Steven,1973-04-29,M,rep,NV,Democrat,148472
Kirkpatrick,Ann,1950-03-24,F,rep,AZ,Democrat,99469
Stanton,Greg,1970-03-08,M,rep,AZ,Democrat,153221
Harder,Josh,1986-08-01,M,rep,CA,Democrat,96149
Porter,Katie,1974-01-03,F,rep,CA,Democrat,131550
Levin,Mike,1978-10-28,M,rep,CA,Democrat,90879
Neguse,Joe,1984-05-13,M,rep,CO,Democrat,101503
Crow,Jason,1979-03-15,M,rep,CO,Democrat,78530
Hayes,Jahana,1973-03-08,F,rep,CT,Democrat,157597
Waltz,Michael,1974-01-31,M,rep,FL,Republican,98651
Steube,W.,1978-05-19,M,rep,FL,Republican,128230
McBath,Lucy,1960-06-01,F,rep,GA,Democrat,166178
San Nicolas,Michael,1981-01-30,M,rep,GU,Democrat,111279
Axne,Cynthia,1965-04-20,F,rep,IA,Democrat,121494
Fulcher,Russ,1973-07-19,M,rep,ID,Republican,118144
García,Jesús,1956-04-12,M,rep,IL,Democrat,111864
Casten,Sean,1971-11-23,M,rep,IL,Democrat,106398
Underwood,Lauren,1986-10-04,F,rep,IL,Democrat,101953
Baird,James,1945-06-04,M,rep,IN,Republican,123458
Pence,Greg,1956-11-14,M,rep,IN,Republican,73292
Davids,Sharice,1980-05-22,F,rep,KS,Democrat,144834
Trahan,Lori,1973-10-27,F,rep,MA,Democrat,139206
Pressley,Ayanna,1974-02-03,F,rep,MA,Democrat,81201
Trone,David,1955-09-21,M,rep,MD,Democrat,71196
Slotkin,Elissa,1976-07-10,F,rep,MI,Democrat,100019
Levin,Andy,1960-08-01,M,rep,MI,Democrat,74564
Stevens,Haley,1983-06-24,F,rep,MI,Democrat,100273
Tlaib,Rashida,1976-07-24,F,rep,MI,Democrat,160502
Hagedorn,Jim,1962-08-04,M,rep,MN,Republican,130808
Craig,Angie,1972-02-14,F,rep,MN,Democrat,139253
Phillips,Dean,1969-01-20,M,rep,MN,Democrat,109730
Omar,Ilhan,1981-10-04,F,rep,MN,Democrat,115929
Stauber,Pete,1966-05-10,M,rep,MN,Republican,89852
Guest,Michael,1970-02-04,M,rep,MS,Republican,130155
Armstrong,Kelly,1976-10-08,M,rep,ND,Republican,95137
Pappas,Chris,1980-06-04,M,rep,NH,Democrat,104834
Van Drew,Jefferson,1953-02-23,M,rep,NJ,Republican,155567
Kim,Andy,1982-07-12,M,rep,NJ,Democrat,97613
Malinowski,Tom,1965-09-23,M,rep,NJ,Democrat,104896
Sherrill,Mikie,1972-01-19,F,rep,NJ,Democrat,94949
Lee,Susie,1966-11-07,F,rep,NV,Democrat,101599
Ocasio-Cortez,Alexandria,1989-10-13,F,rep,NY,Democrat,160802
Delgado,Antonio,1977-01-19,M,rep,NY,Democrat,107233
Gonzalez,Anthony,1984-09-19,M,rep,OH,Republican,75685
Dean,Madeleine,1959-06-06,F,rep,PA,Democrat,144154
Houlahan,Chrissy,1967-06-05,F,rep,PA,Democrat,169796
Meuser,Daniel,1964-02-10,M,rep,PA,Republican,100023
Joyce,John,1957-02-08,M,rep,PA,Republican,159064
Reschenthaler,Guy,1983-04-17,M,rep,PA,Republican,85025
Timmons,William,1984-04-30,M,rep,SC,Republican,155897
Johnson,Dusty,1976-09-30,M,rep,SD,Republican,140125
Burchett,Tim,1964-08-25,M,rep,TN,Republican,102138
